Reference,Value,Footprint,Package,Datasheet
U1,NCP1117-5.0_SOT223,TO_SOT_Packages_SMD:SOT-223-3Lead_TabPin2,SOT223,
U2,NCP1117-3.3_SOT223,TO_SOT_Packages_SMD:SOT-223-3Lead_TabPin2,SOT223,
U5,LM358,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,SOP8,
Y1,12MHz,Crystals:Crystal_HC49-4H_Vertical,XTAL,
Y2,16MHz,Crystals:Crystal_HC49-4H_Vertical,XTAL,
X1,Jack-DC,Connect:JACK_ALIM,,
AD1,Conn_01x06,Socket_Strips:Socket_Strip_Straight_1x06_Pitch2.54mm,,
IOL1,Conn_01x08,Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm,,
IOH1,Conn_01x10,Socket_Strips:Socket_Strip_Straight_1x10_Pitch2.54mm,,
SPI_PWR1,Conn_02x04_Odd_Even,Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm,,
X2,USB_B,Connect:USB_B,,
LED_ON1,GREEN,LEDs:LED_0805,805,
LED_L1,YELLOW,LEDs:LED_0805,805,
LED_TX1,YELLOW,LEDs:LED_0805,805,
LED_RX1,YELLOW,LEDs:LED_0805,805,
POWER1,Conn_01x08,Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm,,
D1,M7,Diodes_SMD:D_SMA,SMA,
F1,MF-MSMF050-2,Resistors_SMD:R_1812,,
U3,CH340G,Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm,SOP16,
C1,22p,Capacitors_SMD:C_0603,603,
C2,22p,Capacitors_SMD:C_0603,603,
C5,22p,Capacitors_SMD:C_0603,603,
C6,22p,Capacitors_SMD:C_0603,603,
RESET1,TS42031-160R-TR-7260,Buttons_Switches_SMD:SW_SPST_B3S-1000,,
C4,1µ,Capacitors_SMD:C_0805,805,
VSEL1,Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,
PC1,47µ,Capacitors_SMD:CP_Elec_6.3x5.8,,
PC2,47µ,Capacitors_SMD:CP_Elec_6.3x5.8,,
C3,1µ,Capacitors_SMD:C_0805,805,
RN1,10k,Resistors_SMD:R_Array_Concave_4x0603,4X603,
RN2,1k,Resistors_SMD:R_Array_Concave_4x0603,4X603,
RN3,1k,Resistors_SMD:R_Array_Concave_4x0603,4X603,
C7,100n,Capacitors_SMD:C_0603,603,
C11,100n,Capacitors_SMD:C_0603,603,
C10,100n,Capacitors_SMD:C_0603,603,
C8,100n,Capacitors_SMD:C_0603,603,
C9,100n,Capacitors_SMD:C_0603,603,
D2,CD1206-S01575,Diodes_SMD:D_1206,1206,
J2,Conn_01x02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,
J1,Conn_01x04,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,,
Q1,FDN340P,TO_SOT_Packages_SMD:SOT-23,SOT23,
C12,100n,Capacitors_SMD:C_0603,603,
X3,USB_OTG,Connectors_USB:USB_Micro-B_Molex_47346-0001,,
U4,STM8S105K6T6C_LQFP32,Housings_QFP:LQFP-32_7x7mm_Pitch0.8mm,LQFP32,
U6,STM8S105K6U6A_UFQFPN32,Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm,,
